ticker,strategy,result
SBIN,BASIC,"0
"
SBIN,DMA,"0
"
SBIN,DMA++,"1415
"
SBIN,MACD,"1288.6
"
SBIN,ADX,"-1336.55
"
SBIN,RSI,"24.1
"
SBIN,LINEAR_REGRESSION,"-1082.15
"
SBIN,PAIRS,"7533.35
"
SBIN,PAIR_STOP,"0
"
ADANIENT,BASIC,"13998.5
"
ADANIENT,DMA,"0
"
ADANIENT,DMA++,"14392.2
"
ADANIENT,MACD,"9911.05
"
ADANIENT,ADX,"-14401.1
"
ADANIENT,RSI,"-8754
"
ADANIENT,LINEAR_REGRESSION,"-11138.4
"
ADANIENT,PAIRS,"-6017.7
"
ADANIENT,PAIR_STOP,"-10653.1
"
RELIANCE,BASIC,"0
"
RELIANCE,DMA,"0
"
RELIANCE,DMA++,"-6540.65
"
RELIANCE,MACD,"3647.9
"
RELIANCE,ADX,"-6594.4
"
RELIANCE,RSI,"4901.15
"
RELIANCE,LINEAR_REGRESSION,"-2210.2
"
RELIANCE,PAIRS,"7057.05
"
RELIANCE,PAIR_STOP,"1567
"
TATASTEEL,BASIC,"343.25
"
TATASTEEL,DMA,"0
"
TATASTEEL,DMA++,"1734.65
"
TATASTEEL,MACD,"-1069.4
"
TATASTEEL,ADX,"1840.65
"
TATASTEEL,RSI,"-3836.2
"
TATASTEEL,LINEAR_REGRESSION,"1432.2
"
TATASTEEL,PAIRS,"5397.85
"
TATASTEEL,PAIR_STOP,"2723.3
"
